"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"11.91_1160.3458m/z"," 1.87201237"," 0.42372747"," 1.10828035"," 0.95135723","-0.76413114"," 1.31332023"," 0.64536547","-0.28307086"," 0.25353108"," 0.43385329","-1.08702408","-0.24311021","-1.54280284","-1.46850535"," 0.09108924","-2.06453151"," 0.23260121"," 0.12460098","-0.05796957"," 0.06140664"
"9.97_956.8168n"," 0.652850571"," 0.188764441"," 0.322683179"," 0.889672728"," 0.830025237"," 0.311628191"," 0.003602758"," 0.680364721"," 0.704448606","-0.585368084","-0.467322629","-1.639671565"," 0.849009603","-2.114396754"," 0.698559303"," 0.603784032"," 0.734683772"," 0.617089701","-2.029178971","-1.251228841"
"9.97_947.6536m/z"," 0.40813243","-0.07046333"," 1.29718675"," 0.76636724"," 0.08698978"," 1.19279387"," 1.63858079"," 1.12700053"," 0.15523994"," 1.01064838","-1.77190775","-1.23704363","-1.18084041","-1.39205724"," 0.41279324","-0.39834402","-0.22514942","-1.26038465","-0.26370737","-0.29583513"
"11.43_878.5647m/z"," 1.168210253"," 0.161386039"," 0.037796893"," 0.013749572"," 0.860244573"," 0.851748434"," 0.186319377","-0.658536056","-1.191205869"," 0.006527962"," 0.607294827","-3.536358027"," 0.270485865"," 0.482870572"," 0.432879811","-0.321588868"," 0.047975249"," 0.073704934"," 0.821999597","-0.315505137"
"9.76_868.5339m/z","-0.25949168","-0.43146539"," 0.76246158"," 1.68622422"," 0.93583071"," 0.45614415"," 0.22159953"," 2.83171821","-0.30495875","-0.16099165","-0.74733465","-1.46923813","-1.13845484","-0.06773288","-0.61461805","-0.23563285","-0.28602918","-0.59641954"," 0.41400774","-0.99561855"
"11.59_848.5416m/z","-1.38282880","-0.60824201","-0.96852436"," 0.19201079"," 0.28926033","-0.49401766"," 0.02072077"," 0.14807894","-0.67937871"," 0.38866527"," 0.63724782","-2.94082161"," 0.41568145"," 1.05796320","-0.11290953"," 0.01683898"," 0.88508810"," 1.29856776"," 1.28188411"," 0.55471517"
"11.51_793.5586n"," 0.18410734","-0.54236228","-1.03916641","-0.43827142"," 0.36929317"," 0.54458453","-0.19761940","-1.07638233","-1.18658120"," 0.21879319"," 1.36563610","-2.94283720"," 0.59153826"," 0.92752772"," 0.69011445"," 0.09607793"," 0.72497494"," 0.71319227"," 1.02829805","-0.03091771"
"11.59_781.0521m/z"," 0.015120186","-0.098589071","-0.131046593"," 0.260762034"," 0.647746621","-0.295644251"," 0.096735187","-0.867851675"," 0.023243346"," 0.656742425"," 0.376686715","-3.762570648"," 0.509260185"," 0.004553505"," 0.287790991","-0.235962397"," 0.779398928"," 0.774000044"," 1.127827500","-0.168203032"
"10.43_776.6307n"," 0.87829985"," 1.01821114","-0.31803477"," 0.81056775","-0.05779268"," 0.50374613"," 0.28722427"," 0.50337658"," 1.47600893","-0.10638746"," 0.93793607","-0.12815474"," 0.54688693","-1.42338972","-1.20908360"," 0.73132837","-2.40318059","-0.53117014","-1.54101975"," 0.02462744"
