"","FC","log2(FC)","p.ajusted","-log10(p)"
"9.37_280.2375m/z",0.31368,-1.6726,8.5574e-11,10.068
"9.37_278.2222n",0.42677,-1.2285,8.5574e-11,10.068
"8.93_369.2050m/z",0.4319,-1.2112,2.2877e-10,9.6406
"9.37_243.2118m/z",0.4794,-1.0607,5.3808e-10,9.2692
"9.37_204.1522n",0.41572,-1.2663,1.2757e-09,8.8943
"8.94_417.1350m/z",0.4069,-1.2973,1.2926e-09,8.8885
"8.93_505.1806m/z",0.48274,-1.0507,1.2926e-09,8.8885
"8.97_345.2049m/z",0.3918,-1.3518,1.3191e-09,8.8797
"9.37_227.0385m/z",0.49688,-1.009,1.3191e-09,8.8797
"9.37_123.1180m/z",0.39469,-1.3412,2.4699e-09,8.6073
"9.37_333.1511m/z",0.4355,-1.1993,2.4699e-09,8.6073
"8.93_347.2213m/z",0.42171,-1.2457,4.1924e-09,8.3775
"8.97_277.2173m/z",0.3403,-1.5551,5.8022e-09,8.2364
"10.16_350.2826n",0.28128,-1.8299,6.2704e-09,8.2027
"9.37_281.0868m/z",0.48931,-1.0312,1.8735e-08,7.7274
"8.94_301.2175m/z",0.40774,-1.2943,3.184e-08,7.497
"9.54_349.2740m/z",0.42674,-1.2286,3.7999e-08,7.4202
"9.69_323.2571m/z",0.38459,-1.3786,5.7587e-08,7.2397
"9.36_443.2060m/z",0.45446,-1.1378,5.9503e-08,7.2255
"8.93_257.2272m/z",0.42966,-1.2187,9.3076e-08,7.0312
"9.97_445.2516m/z",2.0955,1.0673,9.4751e-08,7.0234
"9.69_449.1999m/z",0.41554,-1.2669,1.0086e-07,6.9963
"8.85_683.3352m/z",2.0319,1.0228,1.1351e-07,6.9449
"8.96_913.5829m/z",0.22451,-2.1551,1.2462e-07,6.9044
"9.97_439.2356m/z",2.5133,1.3296,1.4798e-07,6.8298
"9.55_400.1492m/z",2.4926,1.3176,1.6191e-07,6.7907
"8.99_549.1676m/z",0.46059,-1.1185,1.624e-07,6.7894
"9.39_361.2719m/z",0.41864,-1.2562,2.6275e-07,6.5805
"8.34_714.2561m/z",0.33578,-1.5744,3.8466e-07,6.4149
"9.55_496.1222m/z",2.1552,1.1078,3.9681e-07,6.4014
"9.36_533.4644n",0.44525,-1.1673,5.4246e-07,6.2656
"9.97_507.2250m/z",2.7953,1.483,6.7175e-07,6.1728
"9.55_396.1967m/z",2.0027,1.002,7.9549e-07,6.0994
"9.41_285.2587m/z",2.2325,1.1586,9.3175e-07,6.0307
"11.80_858.6215m/z",3.5438,1.8253,9.4575e-07,6.0242
"9.96_377.2680m/z",2.7913,1.481,9.8767e-07,6.0054
"9.41_311.2379m/z",2.5819,1.3684,1.3942e-06,5.8557
"11.69_688.5872m/z",0.063742,-3.9716,1.5417e-06,5.812
"8.37_277.2171m/z",0.295,-1.7612,1.8684e-06,5.7285
"9.99_365.3030m/z",2.8076,1.4893,1.8684e-06,5.7285
"9.36_147.1180m/z",0.49577,-1.0123,3.0339e-06,5.518
"8.59_588.5224m/z",5.6192,2.4904,3.0489e-06,5.5159
"8.71_299.2015m/z",0.4558,-1.1335,3.5152e-06,5.454
"11.72_430.3817m/z",0.24138,-2.0506,3.5659e-06,5.4478
"10.90_277.2171m/z",0.2577,-1.9563,3.7889e-06,5.4215
"9.96_496.2127m/z",2.7578,1.4635,4.0854e-06,5.3888
"10.37_467.2677m/z",5.1926,2.3765,4.7043e-06,5.3275
"9.97_247.2428m/z",2.1033,1.0726,6.0112e-06,5.221
"9.86_295.2427m/z",2.1815,1.1253,6.5679e-06,5.1826
"9.81_375.1817m/z",0.48815,-1.0346,6.773e-06,5.1692
"7.80_422.3272m/z",0.2499,-2.0006,7.4298e-06,5.129
"8.35_692.2700m/z",0.40389,-1.308,8.3483e-06,5.0784
"8.93_943.6062m/z",0.043288,-4.5299,8.9218e-06,5.0495
"8.94_283.2061m/z",0.45489,-1.1364,9.8303e-06,5.0074
"8.99_335.1760m/z",0.35129,-1.5093,1.0388e-05,4.9835
"9.04_352.2613n",0.40186,-1.3152,1.3437e-05,4.8717
