"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"10.92_1162.4750m/z","-0.3440185","-0.2117704","-0.2503999","-0.3876078","-0.1397672","-0.3293876","-0.1190913","-0.2228707","-0.3117926","-3.7718187"," 0.2793425"," 0.3064682"," 0.4741037"," 0.8232224"," 0.5797979"," 0.5871782"," 0.8754638"," 0.5870786"," 0.7876312"," 0.7882381"
"11.06_1162.4652m/z","-1.99607326","-0.72704448"," 0.02037703","-1.17514569","-0.11457482","-0.44948330","-0.57828703","-0.83893203","-2.15202024","-0.05491580"," 0.29683545"," 1.11964744"," 0.90414340"," 1.10690200"," 0.82639608"," 0.40870174"," 0.90959810"," 0.63397442"," 1.04134670"," 0.81855428"
"11.03_1132.4581m/z","-1.0555402","-0.7897450","-0.4457258","-1.4642053","-0.2157089","-0.5471044","-0.1401508","-1.7307130","-0.7639877","-0.2403176","-1.2643228"," 1.2796520"," 0.6892922"," 1.1338279"," 0.2659732"," 0.8173192"," 1.3546665"," 1.0248258"," 1.2786472"," 0.8133175"
"11.15_1108.4562m/z","-2.111704250"," 0.006520578","-1.244164696","-1.470625042"," 0.172716706","-1.296963499"," 0.109823092","-0.744010326","-0.654227886","-0.497202553","-0.027016560"," 0.844131014"," 0.719402337"," 0.883329073","-0.015329908"," 1.260994377"," 1.030778050"," 1.321246671"," 0.828124747"," 0.884178074"
"11.94_1088.4897m/z"," 0.53300045","-3.03286793"," 0.71710386"," 0.26849324"," 0.41659514"," 0.30848964"," 0.77093432"," 0.01856034"," 0.27922952"," 0.70581616","-2.31253427"," 0.57049312","-0.90330445","-0.19947942"," 0.26636491"," 0.27821543"," 0.44346341"," 0.51609148"," 0.55728905","-0.20195402"
"11.72_1087.4859m/z"," 0.241559101","-2.918087761"," 0.572673539","-0.168541898","-0.811266011","-0.791202459","-0.396069084","-0.561673056"," 0.134051263","-0.241145547","-1.425252447"," 0.782688079"," 0.788747857"," 1.162866286"," 1.148181071"," 0.096782265","-0.001116959"," 1.275317155"," 0.709494195"," 0.401994409"
"11.27_1025.2605m/z"," 0.98997234","-3.18410286","-0.25679567","-0.50904737"," 0.91142491","-1.19208127"," 0.70802906"," 0.17813761"," 0.24323551"," 0.22008499","-1.22593501"," 0.19308688","-0.38121418"," 0.28857214","-0.10506416"," 0.56542426"," 0.02935854"," 0.84319689"," 1.30830422"," 0.37541318"
"9.98_1020.6976n"," 0.82753714"," 0.64329349"," 0.90088287"," 1.11087122"," 0.20234993"," 1.03242485"," 0.67888137"," 0.81358536"," 0.87497827"," 0.94668398"," 0.13258072","-1.15488312","-0.20599844","-2.34831598"," 0.07489905","-0.56094227","-1.44737059","-0.94755828","-1.28911286","-0.28478670"
"10.45_985.7819m/z"," 0.27922149","-0.02940861"," 0.38430544"," 0.60944581"," 0.35933740"," 0.61150647"," 0.21532739"," 0.82867387"," 0.87952497"," 0.57058427","-2.81855228"," 0.13343823"," 0.32922202"," 0.30100359","-0.88523022"," 0.22290029","-2.62673193"," 0.14963086"," 0.11575125"," 0.37004970"
