"","FC","log2(FC)","p.ajusted","-log10(p)"
"10.94_482.2966n",0.38201,-1.3883,7.7997e-11,10.108
"10.92_184.0741m/z",0.2197,-2.1864,2.913e-10,9.5357
"11.65_741.5593n",0.31543,-1.6646,1.342e-09,8.8722
"9.70_277.2171m/z",0.41194,-1.2795,1.8833e-09,8.7251
"9.38_123.1175m/z",0.46137,-1.116,1.8833e-09,8.7251
"9.39_281.0853m/z",0.43696,-1.1944,2.7676e-09,8.5579
"8.65_335.2584m/z",0.29257,-1.7731,3.6467e-09,8.4381
"8.51_335.2585m/z",0.30794,-1.6993,3.6467e-09,8.4381
"9.04_353.2679m/z",0.16965,-2.5594,4.733e-09,8.3249
"8.51_542.2511m/z",0.32392,-1.6263,5.4647e-09,8.2624
"9.38_877.6346m/z",0.36109,-1.4696,5.4647e-09,8.2624
"8.51_475.2708n",0.20237,-2.3049,6.3955e-09,8.1941
"9.34_810.5690m/z",0.3459,-1.5316,1.2374e-08,7.9075
"10.89_846.5329m/z",0.14316,-2.8043,1.3273e-08,7.877
"11.34_277.2173m/z",0.34706,-1.5267,1.3273e-08,7.877
"8.20_291.1963m/z",0.22831,-2.1309,2.3296e-08,7.6327
"11.08_412.7299m/z",0.19137,-2.3856,2.6309e-08,7.5799
"11.03_738.5100m/z",0.091113,-3.4562,3.9359e-08,7.405
"10.91_277.2166m/z",0.15684,-2.6726,4.064e-08,7.391
"11.06_433.7534m/z",0.21682,-2.2054,4.5915e-08,7.338
"8.62_277.2166m/z",0.31148,-1.6828,6.4447e-08,7.1908
"7.75_277.2167m/z",0.19823,-2.3348,7.8621e-08,7.1045
"7.75_466.3175m/z",0.16075,-2.6371,9.3825e-08,7.0277
"9.36_131.0861m/z",0.42134,-1.2469,1.0945e-07,6.9608
"10.98_588.8992m/z",2.1422,1.0991,1.4138e-07,6.8496
"9.93_402.1905m/z",2.072,1.051,3.2721e-07,6.4852
"11.40_738.5099m/z",0.49847,-1.0044,3.3637e-07,6.4732
"9.29_252.2095n",3.1798,1.669,4.8513e-07,6.3141
